,X,Y,Z,Activity
838,-1.29,3.26,10.03,Upstairs
839,-1.02,3.11,9.09,Upstairs
840,-1.74,3.15,7.61,Upstairs
841,-1.18,3.28,8.57,Upstairs
842,-1.02,3.25,9.78,Upstairs
843,-0.94,3.39,9.76,Upstairs
844,-0.98,3.27,9.85,Upstairs
845,-1.18,3.04,8.91,Upstairs
846,-1.11,3.2,9.41,Upstairs
847,-1.2,3.16,9.69,Upstairs
848,-1.23,3.16,9.78,Upstairs
849,-1.05,3.26,9.29,Upstairs
850,-1.15,3.18,8.85,Upstairs
851,-1.03,3.18,8.99,Upstairs
852,-1.01,3.26,9.12,Upstairs
853,-1.14,3.28,9.18,Upstairs
854,-1.1,3.21,9.41,Upstairs
855,-1.15,2.99,9.43,Upstairs
856,-1.07,3.08,9.84,Upstairs
857,-1.02,3.04,10.06,Upstairs
858,-1.15,3.13,9.63,Upstairs
859,-1.16,3.2,9.25,Upstairs
860,-1.15,3.34,9.47,Upstairs
861,-1.15,3.26,9.53,Upstairs
862,-1.23,3.2,9.43,Upstairs
863,-1.19,3.53,9.13,Upstairs
864,-0.46,3.2,8.38,Upstairs
865,-2.06,3.53,8.46,Upstairs
866,-0.96,3.36,9.4,Upstairs
867,-0.75,3.36,10.15,Upstairs
868,-0.41,3.54,9.54,Upstairs
869,-0.97,3.44,8.92,Upstairs
870,-0.9,3.33,8.93,Upstairs
871,-1.06,3.35,9.33,Upstairs
872,-1.36,3.23,8.93,Upstairs
873,-1.42,3.3,8.3,Upstairs
874,-1.38,3.62,8.66,Upstairs
875,-1.0,3.33,9.44,Upstairs
876,-1.45,2.99,9.27,Upstairs
877,-1.34,3.21,10.06,Upstairs
878,-1.08,3.21,10.16,Upstairs
879,-1.2,3.26,9.71,Upstairs
880,-1.08,3.25,9.65,Upstairs
881,-1.28,3.38,9.13,Upstairs
882,-1.3,3.41,9.1,Upstairs
883,-1.3,3.3,9.73,Upstairs
884,-1.13,3.25,9.94,Upstairs
885,-1.07,3.29,9.74,Upstairs
886,-1.15,3.4,9.23,Upstairs
887,-1.13,3.4,8.53,Upstairs
888,-1.36,3.47,8.4,Upstairs
889,-1.11,3.43,8.72,Upstairs
890,-1.14,3.43,9.14,Upstairs
891,-1.18,3.45,9.21,Upstairs
892,-1.19,3.4,9.32,Upstairs
893,-1.25,3.36,9.32,Upstairs
894,-1.16,3.46,9.18,Upstairs
895,-1.16,3.43,9.22,Upstairs
896,-1.2,3.49,9.22,Upstairs
897,-1.3,3.48,9.13,Upstairs
898,-1.31,3.48,9.09,Upstairs
899,-1.21,3.52,9.18,Upstairs
900,-1.26,3.51,9.17,Upstairs
901,-1.23,3.47,9.28,Upstairs
902,-1.22,3.5,9.44,Upstairs
903,-1.23,3.48,9.38,Upstairs
904,-1.45,3.5,9.2,Upstairs
905,-1.42,3.51,9.12,Upstairs
906,-1.35,3.5,9.09,Upstairs
907,-1.32,3.46,9.19,Upstairs
908,-1.27,3.49,9.32,Upstairs
909,-1.27,3.48,9.35,Upstairs
910,-1.34,3.46,9.24,Upstairs
911,-1.35,3.48,9.06,Upstairs
912,-1.33,3.52,8.99,Upstairs
913,-1.22,3.56,9.12,Upstairs
914,-1.24,3.55,9.28,Upstairs
915,-1.35,3.53,9.32,Upstairs
916,-1.4,3.54,9.24,Upstairs
917,-1.31,3.62,9.16,Upstairs
918,-1.2,3.65,9.16,Upstairs
919,-1.24,3.63,9.28,Upstairs
920,-1.17,3.65,9.37,Upstairs
921,-1.03,3.62,9.41,Upstairs
922,-1.14,3.65,9.46,Upstairs
923,-1.18,3.79,9.5,Upstairs
924,-1.02,3.6,9.54,Upstairs
925,-1.26,3.84,8.85,Upstairs
926,-1.18,3.81,8.6,Upstairs
927,-1.2,3.67,8.66,Upstairs
928,-1.45,3.51,8.82,Upstairs
929,-1.14,3.54,9.16,Upstairs
930,-0.78,3.69,8.67,Upstairs
931,-1.0,3.61,8.27,Upstairs
932,-1.02,3.66,9.14,Upstairs
