,X,Y,Z,Activity
934,2.78,-9.39,-0.67,Standing
935,2.81,-9.42,-0.69,Standing
936,2.92,-9.38,-0.67,Standing
937,2.91,-9.38,-0.66,Standing
938,2.86,-9.42,-0.64,Standing
939,2.84,-9.44,-0.63,Standing
940,2.86,-9.45,-0.61,Standing
941,2.85,-9.4,-0.64,Standing
942,2.85,-9.4,-0.67,Standing
943,2.88,-9.4,-0.67,Standing
944,2.84,-9.37,-0.7,Standing
945,2.85,-9.36,-0.69,Standing
946,2.88,-9.41,-0.68,Standing
947,2.9,-9.42,-0.65,Standing
948,2.89,-9.41,-0.66,Standing
949,2.9,-9.38,-0.69,Standing
950,2.89,-9.37,-0.7,Standing
951,2.9,-9.39,-0.64,Standing
952,2.87,-9.4,-0.62,Standing
953,2.85,-9.4,-0.64,Standing
954,2.87,-9.4,-0.66,Standing
955,2.88,-9.38,-0.69,Standing
956,2.95,-9.37,-0.7,Standing
957,2.97,-9.36,-0.66,Standing
958,2.97,-9.38,-0.6,Standing
959,2.89,-9.42,-0.59,Standing
960,2.81,-9.46,-0.62,Standing
961,2.78,-9.43,-0.64,Standing
962,2.81,-9.42,-0.63,Standing
963,2.85,-9.38,-0.66,Standing
964,2.88,-9.4,-0.66,Standing
965,2.88,-9.39,-0.62,Standing
966,2.89,-9.38,-0.62,Standing
967,2.93,-9.39,-0.63,Standing
968,2.96,-9.41,-0.62,Standing
969,2.94,-9.38,-0.6,Standing
970,2.9,-9.36,-0.6,Standing
971,2.93,-9.36,-0.63,Standing
972,2.96,-9.36,-0.64,Standing
973,2.99,-9.35,-0.63,Standing
974,2.99,-9.37,-0.62,Standing
975,2.94,-9.4,-0.61,Standing
976,2.95,-9.41,-0.6,Standing
977,2.94,-9.39,-0.64,Standing
978,2.92,-9.38,-0.64,Standing
979,2.9,-9.35,-0.65,Standing
980,2.94,-9.38,-0.61,Standing
981,2.96,-9.4,-0.6,Standing
982,2.94,-9.36,-0.58,Standing
983,2.94,-9.34,-0.57,Standing
984,2.95,-9.35,-0.57,Standing
985,3.0,-9.38,-0.59,Standing
986,2.99,-9.39,-0.62,Standing
987,3.0,-9.39,-0.64,Standing
988,2.97,-9.37,-0.64,Standing
989,2.97,-9.36,-0.61,Standing
990,2.97,-9.36,-0.58,Standing
991,2.99,-9.37,-0.61,Standing
992,2.98,-9.38,-0.61,Standing
993,3.0,-9.37,-0.62,Standing
994,3.0,-9.36,-0.62,Standing
995,3.0,-9.36,-0.6,Standing
996,3.0,-9.35,-0.61,Standing
