timeElapsed,x,y,z,label
1007,2.02,-8.57,1.19,Standing
1008,1.99,-8.51,1.13,Standing
1009,1.93,-8.54,1.05,Standing
1010,2,-8.51,1.18,Standing
1011,2.12,-8.5,1.33,Standing
1012,2.25,-8.5,1.33,Standing
1013,2.27,-8.49,1.27,Standing
1014,2.18,-8.54,1.2,Standing
1015,2.08,-8.58,1.1,Standing
1016,2.07,-8.49,1.07,Standing
1017,2.2,-8.54,1.14,Standing
1018,2.23,-8.62,1.15,Standing
1019,2.17,-8.66,1.11,Standing
1020,2.07,-8.69,1.05,Standing
1021,1.94,-8.63,1.11,Standing
1022,1.71,-8.56,1.16,Standing
1023,1.56,-8.57,1.13,Standing
1024,1.49,-8.53,1.12,Standing
1025,1.54,-8.5,1.12,Standing
1026,1.67,-8.51,1.23,Standing
1027,1.86,-8.59,1.35,Standing
1028,1.96,-8.66,1.29,Standing
1029,2.01,-8.68,1.04,Standing
1030,1.44,-8.37,0.92,Standing
1031,1.58,-8.53,1.09,Standing
1032,1.9,-8.8,1.19,Standing
1033,1.87,-8.72,0.93,Standing
1034,1.65,-8.56,0.85,Standing
1035,1.54,-8.5,1.06,Standing
1036,1.65,-8.6,1.01,Standing
1037,1.98,-8.62,0.82,Standing
1038,2.16,-8.61,0.83,Standing
1039,2.22,-8.59,0.86,Standing
1040,2.01,-8.61,0.99,Standing
1041,1.81,-8.57,1.06,Standing
1042,1.53,-8.45,1,Standing
1043,1.58,-8.48,0.87,Standing
1044,1.68,-8.61,0.9,Standing
1045,1.68,-8.69,0.86,Standing
1046,1.68,-8.68,0.9,Standing
1047,1.63,-8.68,1.05,Standing
1048,1.61,-8.6,1.12,Standing
1049,1.73,-8.51,1.13,Standing
1050,1.77,-8.48,1.12,Standing
1051,1.81,-8.49,1.12,Standing
1052,1.89,-8.55,1,Standing
1053,1.99,-8.62,1.02,Standing
1054,2.2,-8.62,1.04,Standing
1055,2.17,-8.61,0.93,Standing
1056,2,-8.58,0.86,Standing
1057,1.91,-8.55,0.87,Standing
1058,1.92,-8.58,0.89,Standing
1059,1.87,-8.68,0.88,Standing
1060,1.86,-8.6,0.99,Standing
1061,1.83,-8.54,0.93,Standing
1062,1.78,-8.68,0.84,Standing
1063,1.66,-8.73,0.89,Standing
1064,1.56,-8.65,0.89,Standing
1065,1.52,-8.65,0.82,Standing
1066,1.51,-8.64,0.91,Standing
1067,1.57,-8.56,1,Standing
1068,1.57,-8.52,0.99,Standing
1069,1.63,-8.52,0.94,Standing
1070,1.82,-8.53,0.96,Standing
1071,2,-8.54,1.02,Standing
1072,1.9,-8.56,1.05,Standing
1073,1.78,-8.6,0.9,Standing
1074,1.74,-8.61,0.76,Standing
1075,1.5,-8.69,0.67,Standing
1076,1.37,-8.86,0.65,Standing
1077,1.31,-8.87,0.73,Standing
1078,1.48,-8.67,0.88,Standing
1079,1.54,-8.54,1.04,Standing
